ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity
kek,Kekchí,Mayan,Mesoamerica,1.416492939,8.334749222,0,,,411200,30192.12234,0
mad,Madura,Austronesian,Southeast-Asia,1.454932809,8.892703056,0,0.597222209,3,13600000,30065.48491,0
sus,Susu,Niger-Congo,African-Savannah,1.516298175,7.731471539,0,0.375,4,1031880,29997.61742,0
mfy,Mayo,Uto-Aztecan,Mesoamerica,1.66253984,10.04061222,0,,,40000,29739.70957,0
mdj,Mangbetu,Nilo-Saharan,S-Africa,,,0,0.625,8,620000,29679.09246,0
drl,Darling,Australian,S-Australia,,,0,0.777777791,9,5,29283.60374,0
wap,Wapishana,Maipurean,NE-South-America,1.438683152,9.607941628,0,,,12500,29248.67573,0
mhr,Eastern Mari,Uralic,Inner-Asia,1.736033678,10.49884415,0,0.699999988,10,451000,29095.78646,0
ium,Iu Mien,Hmong-Mien,Southeast-Asia,1.327121973,7.893639088,0,0,7,817300,28951.84848,0
nga,Ngbaka,Niger-Congo,S-Africa,,,0,0.5,2,1013650,28904.56485,0
bci,Baoulé,Niger-Congo,African-Savannah,,,0,0.5,2,2130000,28826.43896,0
men,Mende,Niger-Congo,African-Savannah,1.602728724,8.460298538,,0.439393938,11,1499700,28813.78323,1
cod,Cocama-Cocamilla,Tupian,NE-South-America,,,0,0.522727251,11,2843,28682.4927,0
any,Anyin,Niger-Congo,African-Savannah,,,0.014568765,1,2,860000,28672.71979,0
tgl,Tagalog,Austronesian,Oceania,1.435956955,8.165286064,,0.47365424,23,21500000,28489.9732,1
hto,Minica Huitoto,Witotoan,NE-South-America,1.550351024,9.848975182,0,0.391666681,8,6800,28373.65291,0
wyb,Wangaaybuwan-Ngiyambaa,Australian,S-Australia,,,0,0.527910054,27,12,28350.13035,0
kin,Rwanda,Niger-Congo,S-Africa,1.711087942,10.84622574,,0.6875,6,7504000,28254.65174,1
ajp,South Levantine Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.25,1,6095000,28247.83921,1
amx,Anmatyerre,Australian,,1.258197188,9.337890625,0,,,1220,28102.79947,0
qvo,Napo Lowland Quechua,Quechuan,,1.407033324,10.45072937,0,,,14000,28098.0601,0
bfa,Bari,Nilo-Saharan,African-Savannah,,,0.267175585,0.493055552,7,480000,27818.79416,1
ilo,Ilocano,Austronesian,Oceania,1.509434581,8.510484695,,0.5625,2,6920000,27775.62596,1
mnc,Manchu,Altaic,Inner-Asia,,,0,0.833333313,6,60,27538.62758,0
heh,Hehe,Niger-Congo,S-Africa,1.696421266,10.65676689,0,1,2,805000,27454.9459,0
kwn,Kwangali,Niger-Congo,S-Africa,,,0,0.555555582,9,84000,27374.76599,0
aln,Gheg Albanian,Indo-European,,1.80615139,9.116201401,,0.602941155,17,5660000,27330.07359,1
hat,Haitian Creole French,Creole,Mesoamerica,1.607369542,7.82295084,,,,7489840,27060.73759,1
emp,Northern Emberá,Chocoan,Andean,1.392866492,9.921227455,0,1,8,60200,26867.00937,0
cbs,Cashinahua,Panoan,NE-South-America,1.49106288,10.05061913,0,0.25,2,2000,26831.23979,0
tiv,Tiv,Niger-Congo,African-Savannah,,,,0,1,2210000,26770.797,1
bmi,Bagirmi,Nilo-Saharan,African-Savannah,,,,0.422523797,25,44800,26017.54081,1
gae,Guarequena,Maipurean,NE-South-America,,,0,0.818181813,11,500,25973.86605,0
pcc,Bouyei,Tai-Kadai,Southeast-Asia,,,0,0,3,2649100,25796.60998,0
les,Lese,Nilo-Saharan,S-Africa,,,0,1,3,50000,25793.98121,0
mzn,Mazanderani,Indo-European,Greater-Mesopotamia,,,0,0.5,2,3270000,25547.26628,0
liy,Banda-Bambari,Niger-Congo,African-Savannah,,,0,0.15625,8,183000,25483.93224,0
shb,Ninam,Yanomaman,NE-South-America,,,0,0.666666687,6,570,25339.59283,0
mde,Maba,Nilo-Saharan,African-Savannah,,,,0.6640625,16,296000,25219.29015,1
run,Rundi,Niger-Congo,S-Africa,1.715163827,10.77609062,,1,2,4750000,25112.41687,1
mag,Magahi,Indo-European,Indic,,,0.00076888,1,2,13000000,25091.22379,0
mgr,Mambwe-Lungu,Niger-Congo,S-Africa,,,0,1,3,674000,24814.62323,0
kdj,Karamojong,Nilo-Saharan,S-Africa,1.585581899,9.335237503,0,0.555555582,9,260000,24637.28431,0
ibo,Igbo,Niger-Congo,African-Savannah,1.642217398,8.613582611,,0.367156863,17,18000000,24459.21754,1
kbp,Kabiyé,Niger-Congo,African-Savannah,1.605242491,9.348491669,0,0.5,2,730000,24266.41738,0
teh,Tehuelche,Chon,SE-South-America,,,0,0.75,1,4,24196.31154,0
yaa,Yaminahua,Panoan,NE-South-America,1.414403081,9.58788681,0,1,4,1390,24064.13602,0
mcb,Machiguenga,Maipurean,NE-South-America,1.252978206,10.84354687,0,0.333333343,3,10100,23915.79169,0
ake,Akawaio,Cariban,NE-South-America,1.355579972,8.514886856,0,,,5350,23871.60858,0
nio,Nganasan,Uralic,Inner-Asia,,,0,0.666666687,9,500,23240.57063,0
mww,Hmong Daw,Hmong-Mien,Southeast-Asia,1.253909826,7.726658344,0,0.25,1,435400,23057.27874,0
wbv,Wajarri,Australian,S-Australia,,,0,0.769999981,10,50,22723.41499,0
lkt,Lakota,Siouan-Catawban,Basin-and-Plains,,,0.045454547,0.426339298,24,6189,22700.11982,0
slv,Slovenian,Indo-European,Europe,1.940674186,9.788516998,,0.555555582,9,1851190,22646.90018,1
kik,Gikuyu,Niger-Congo,S-Africa,1.608809471,9.760751724,0,0.704545438,11,7180000,22333.31169,0
pse,Pasemah,Austronesian,,1.394242764,8.59244442,0,,,2350000,22106.01514,0
mai,Maithili,Indo-European,Indic,1.76287818,9.112644196,0.005720992,0.454545468,11,34700000,21747.81713,1
yns,Yansi,Niger-Congo,S-Africa,,,0,0.5,2,100000,21718.51455,0
nzk,Nzakara,Niger-Congo,African-Savannah,,,0,0.666666687,6,50000,21639.33684,0
pko,Pökoot,Nilo-Saharan,S-Africa,,,0,0.777777791,9,334400,21576.56672,0
nab,Southern Nambikuára,Nambiquaran,NE-South-America,0.990492225,11.74796772,0,0.871428549,10,1150,21524.73062,0
acu,Achuar-Shiwiar,Jivaroan,NE-South-America,1.349915624,10.30767345,0,1,6,5000,21385.73517,0
dta,Daur,Altaic,Inner-Asia,,,0,0.699999988,10,96100,21275.21123,0
ngo,Ngoni,Niger-Congo,S-Africa,,,0,0.666666687,6,223000,21264.84729,0
lhu,Lahu,Sino-Tibetan,Southeast-Asia,1.069886804,7.138971806,,0.127380952,14,452574,21209.43844,1
bca,Central Bai,Sino-Tibetan,Southeast-Asia,,,0,0,6,800000,21201.16055,0
bug,Bugis,Austronesian,Oceania,1.478085995,9.684048653,0.090615824,,,3500000,21048.92764,1
knk,Kuranko,Niger-Congo,African-Savannah,1.497852206,7.872434139,0,,,323200,21047.29635,0
clk,Idu-Mishmi,Sino-Tibetan,Indic,,,0,1,1,11080,21010.60545,0
wrr,Wardaman,Australian,N-Australia,,,0,0.730092585,18,50,20994.41018,0
pdt,Plautdietsch,Indo-European,Europe,1.741591334,8.744339943,0,,,84900,20890.88824,0
pio,Piapoco,Maipurean,NE-South-America,1.247142673,9.823584557,0,,,6380,20744.40013,0
alh,Alawa,Australian,N-Australia,,,0,0.696428597,14,18,20722.23242,0
gso,"Gbaya, Southwest",Niger-Congo,,1.495725155,7.702019691,0,,,220000,20558.65459,0
vut,Vute,Niger-Congo,,1.802577734,8.814660072,0,,,21000,20528.39319,0
buf,Bushoong,Niger-Congo,S-Africa,,,0,0.833333313,6,155000,20428.54248,0
moc,Mocoví,Guaykuruan,SE-South-America,1.306489587,8.952335358,0,0.75,8,4530,20214.30926,0
mdq,Mbole,Niger-Congo,S-Africa,,,0,1,3,100000,20137.95456,0
cpb,Ucayali-Yurúa Ashéninka,Maipurean,,1.438819528,10.96430492,0,,,7870,19889.83073,0
kbl,Kanembu,Nilo-Saharan,African-Savannah,,,,1,5,461000,19742.68915,1
kab,Kabyle,Afro-Asiatic,N-Africa,1.763072252,9.783403397,0,0.5,1,2540000,19686.73103,0
swh,Swahili,Niger-Congo,,1.650579929,10.0179081,0.837301016,0.674823642,27,675000,19618.77647,1
ter,Terêna,Maipurean,SE-South-America,1.493997097,9.896837234,0,1,1,15000,19523.0204,0
nyh,Nyigina,Australian,N-Australia,,,0,0.625,4,50,19241.22744,0
agh,Ngelima,Niger-Congo,S-Africa,,,0,0.5,2,13600,19225.47019,0
mnw,Mon,Austro-Asiatic,Southeast-Asia,,,0,0.022727273,11,851000,19088.93982,0
gnw,Western Bolivian Guaraní,Tupian,,1.261830449,7.93513155,0,,,7000,19088.32365,0
yad,Yagua,Yaguan,NE-South-America,1.45170629,10.52119446,0,0.562629402,23,5690,19048.37188,0
mls,Masalit,Nilo-Saharan,African-Savannah,,,0,1,12,60900,18968.10999,0
xpe,Liberia Kpelle,Niger-Congo,,,,0,0.416666657,3,487000,18952.37487,0
zgb,"Zhuang, Guibei",Tai-Kadai,,,,0,0.142857149,7,1500000,18756.19168,0
kas,Kashmiri,Indo-European,Indic,,,0,0.49000001,10,5525000,18645.54538,0
gyr,Guarayu,Tupian,,1.503678083,8.956442833,0,,,5930,18640.88517,0
nbj,Ngarinman,Australian,N-Australia,,,0,0.75,4,170,18233.97352,0
ket,Ket,Yeniseian,Inner-Asia,,,0,0.585515857,24,190,17852.82177,0
miq,Mískito,Misumalpan,Mesoamerica,1.473739982,8.142868996,,0.518518507,9,183000,17791.90734,1
mep,Miriwung,Australian,N-Australia,,,0,0.666666687,3,110,17789.78193,0
sbs,Subiya,Niger-Congo,S-Africa,,,0,1,2,35090,17735.95946,0
cni,Asháninka,Maipurean,Andean,1.394544601,10.71266937,0,,,26100,17708.75355,0
tem,Themne,Niger-Congo,African-Savannah,1.696990013,8.612440109,0.128342241,0.681818187,11,1230000,17698.0008,1
ace,Aceh,Austronesian,Southeast-Asia,1.38415277,8.543828964,0,0.172619045,14,3500000,17655.56398,0
knm,Kanamarí,Maipurean,NE-South-America,,,0,0.666666687,6,1650,17497.30621,0
kaa,Karakalpak,Altaic,Inner-Asia,1.643216252,10.73233604,0,0.857142866,7,407000,17418.02175,0
gbr,Gbagyi,Niger-Congo,,,,0,0.041666668,6,700000,17362.05229,0
lus,Mizo,Sino-Tibetan,Southeast-Asia,1.470345259,8.041837692,0,0.181818187,11,541750,17290.32236,0
sba,Ngambay,Nilo-Saharan,African-Savannah,1.573806405,8.365386963,,0.520833313,12,896000,17228.52329,1
anu,Anuak,Nilo-Saharan,Greater-Abyssinia,,,0.014580886,0.571428597,7,97600,17030.82937,0
chv,Chuvash,Altaic,Inner-Asia,1.744187832,10.56682491,0.15625,0.693137228,17,1640000,16901.20157,0
nyn,Nyankore,Niger-Congo,S-Africa,1.651194811,11.02138901,0,0.75,8,2330000,16900.36009,0
kxm,Northern Khmer,Austro-Asiatic,,1.446835637,8.021904945,0,,,1400000,16806.53286,0
che,Chechen,North-Caucasian,Greater-Mesopotamia,1.767060399,10.13743496,,0.541666687,12,1330000,16802.27693,1
las,Lama,Niger-Congo,,1.522565007,8.320109367,0,,,177000,16758.26074,0
oym,Wayampi,Tupian,NE-South-America,,,0,0.600000024,5,1180,16715.12944,0
prk,Parauk,Austro-Asiatic,Southeast-Asia,1.314219832,7.529480934,,,,1188000,16701.53328,1
haw,Hawaiian,Austronesian,Oceania,1.372740984,6.973917007,,0.205555558,18,1000,16691.71357,1
hwc,Hawai'i Creole English,Creole,Oceania,1.50635457,7.661368847,0.400000006,0.5,3,600000,16691.71357,0
bor,Borôro,Bororoan,NE-South-America,,,0,0.857142866,11,1020,16618.02995,0
xsu,Sanumá,Yanomaman,NE-South-America,1.189941049,7.3873353,0,0.23160173,22,6410,16612.56524,0
mye,Myene,Niger-Congo,S-Africa,,,0,0,1,46700,16477.2155,0
lis,Lisu,Sino-Tibetan,Southeast-Asia,,,,0,2,766000,16450.48883,1
eus,Basque,Language-isolate,Europe,1.683912873,10.34806347,,0.647448957,28,656200,16420.12479,1
ewe,Éwé,Niger-Congo,African-Savannah,1.716948271,8.896357536,0.106746368,0.38506943,24,3112000,16400.96273,1
dag,Dagbani,Niger-Congo,African-Savannah,,,0,0.444444448,9,800000,16234.81119,0
jao,Yanyuwa,Australian,N-Australia,,,0,0.833333313,4,52,16165.71279,0
nup,Nupe-Nupe-Tako,Niger-Congo,African-Savannah,,,0.200000003,0.190476194,7,800000,16163.58271,1
qvz,Northern Pastaza Quichua,Quechuan,,1.43676281,10.44005775,0,,,10000,16110.44093,0
bas,Basaa,Niger-Congo,African-Savannah,,,0,0.5,2,230000,16076.92329,0
box,Buamu,Niger-Congo,,1.549203992,7.696903229,0,,,186000,16024.80677,0
bbc,Batak Toba,Austronesian,Southeast-Asia,1.582448721,8.305621147,0,0.222222224,9,2000000,15797.85027,0
war,Waray-Waray,Austronesian,Oceania,1.460078239,8.105070114,,1,1,2570000,15729.7724,1
koi,Komi-Permyak,Uralic,Inner-Asia,,,0,0.857142866,7,94300,15728.33804,0
ngk,Ngalkbun,Australian,N-Australia,,,0,1,4,20,15681.8163,0
myk,Mamara Senoufo,Niger-Congo,,1.497322679,7.690621376,0,,,738000,15588.41384,0
ood,Tohono O'odham,Uto-Aztecan,Basin-and-Plains,1.510129213,7.87855196,0,0.637499988,11.5,9600,15527.96096,0
mwe,Mwera,Niger-Congo,S-Africa,,,0,0.96875,8,469000,15515.19956,0
rel,Rendille,Afro-Asiatic,S-Africa,,,0,0.412499994,4,34700,15512.46448,0
lbj,Ladakhi,Sino-Tibetan,Indic,,,0,0.805092573,18,150000,15486.77657,0
unr,Mundari,Austro-Asiatic,,,,0,0.417011291,10,1560280,15367.96998,0
rif,Tarifit,Afro-Asiatic,N-Africa,,,0,0.600000024,10,1500000,15366.59388,0
mbc,Macushi,Cariban,NE-South-America,1.290413976,9.019431114,0,0.601960778,17,29100,15355.98987,0
ifm,Teke-Fuumu,Niger-Congo,S-Africa,,,0,0.333333343,3,8150,15271.52288,0
ywt,Western Yi,Sino-Tibetan,Southeast-Asia,,,0,0,10,300000,15252.40819,0
rit,Ritarungo,Australian,N-Australia,,,0,1,8,94,15088.87646,0
fuv,Nigerian Fulfulde,Niger-Congo,African-Savannah,1.654070258,9.148304939,,,,1710000,14896.4106,1
mnk,Mandinka,Niger-Congo,African-Savannah,1.45423317,7.697743893,,0.5,3,1346000,14872.49408,1
gld,Nanai,Altaic,N-Coast-Asia,,,0,0.5,1,3902,14741.63852,0
hil,Hiligaynon,Austronesian,Oceania,1.39373374,7.874841213,,0.333333343,3,5770000,14662.24905,1
mur,Murle,Nilo-Saharan,African-Savannah,1.621484041,8.933084488,0,0.647916675,16,60200,14657.86788,0
shk,Shilluk,Nilo-Saharan,African-Savannah,1.618387938,9.084130287,0,0.666666687,9,175000,14546.93558,0
tma,Tama,Nilo-Saharan,African-Savannah,,,0,0.928571403,4.5,67900,14534.62161,0
dau,Dar Sila Daju,Nilo-Saharan,African-Savannah,,,0,0.5,2,63100,14500.51872,0
gla,Scottish Gaelic,Indo-European,Europe,1.600497961,8.482806206,,0.400000006,11,58700,14391.24275,1
cjs,Shor,Altaic,Inner-Asia,1.638914466,10.21022224,0,0,1,6210,14123.55192,0
bdm,Buduma,Afro-Asiatic,African-Savannah,,,0,0.666666687,9,54800,14083.73638,0
mrz,Marind,Trans-New-Guinea,S-New-Guinea,,,0,0.603205144,13,7000,13986.23889,0
laj,Lango,Nilo-Saharan,S-Africa,1.761203051,8.882966042,0,0.463965207,26,1490000,13937.10134,0
crk,Plains Cree,Algic,E-North-America,,,0,0.640062094,23,34100,13922.08326,0
mdd,Mbum,Niger-Congo,African-Savannah,,,0,0,6,51100,13907.87505,0
khq,Koyra Chiini Songhay,Nilo-Saharan,Greater-Abyssinia,,,0,0.163003668,13,200000,13888.02316,0
jiv,Shuar,Jivaroan,Andean,1.564481139,10.79694462,0,0.8125,8,46700,13814.1316,0
urd,Urdu,Indo-European,Indic,1.783983946,8.900243759,0.576628745,0.361111104,9,59050000,13805.54121,1
qve,Eastern Apurímac Quechua,Quechuan,,1.268617153,10.92811489,0,,,200000,13759.42219,0
kfy,Kumauni,Indo-European,Indic,,,0,0.75,4,2360000,13751.02671,0
tar,Central Tarahumara,Uto-Aztecan,Mesoamerica,1.156101465,8.405068398,0,0.400000006,5,55000,13747.93588,0
pmf,Pamona,Austronesian,,1.220518708,8.049502373,0,,,106000,13703.32411,0
jaa,Jamamadí,Arauan,NE-South-America,,,0,1,1,480,13682.49441,0
noa,Woun Meu,Chocoan,Andean,1.506049633,9.846661568,0,1,6,6000,13659.32832,0
kun,Kunama,Nilo-Saharan,Greater-Abyssinia,,,0.000549947,0.731481493,18,188880,13644.64619,0
wbl,Wakhi,Indo-European,Indic,,,0,0.5,8,31670,13452.82611,0
grt,Garo,Sino-Tibetan,Indic,1.514270186,10.29481792,,0.651915133,23,900000,13429.8449,1
kff,Koya,Dravidian,Indic,1.649811983,10.6130724,0,1,6,300000,13290.76313,0
ldi,Laari,Niger-Congo,,1.733212233,9.747484207,0,,,90600,13259.41225,0
krc,Karachay-Balkar,Altaic,Greater-Mesopotamia,1.642319202,10.29354095,0,0.777777791,9,108000,13198.15957,0
nnw,Southern Nuni,Niger-Congo,,1.436533213,7.17361927,0,,,168000,13187.32618,0
taj,Eastern Tamang,Sino-Tibetan,Indic,1.299398541,9.243897438,0.027213648,0.5,8,773000,12981.74177,0
adt,Adynyamathanha,Australian,S-Australia,,,0,0.600000024,5,130,12961.52898,0
dur,Dii,Niger-Congo,African-Savannah,1.529117346,8.205025673,0,,,47000,12943.18516,0
jam,Jamaican Creole English,Creole,Mesoamerica,1.635024786,7.594544411,0,,,2993100,12755.17283,0
cym,Welsh,Indo-European,Europe,1.68209672,8.976930618,,0.171130955,7.5,508000,12729.36746,1
kdh,Tem,Niger-Congo,African-Savannah,,,,0.8125,4,204000,12695.26331,1
cmi,Emberá-Chamí,Chocoan,Andean,,,0,1,1,5510,12681.64394,0
nto,Ntomba,Niger-Congo,S-Africa,,,0,1,1,100000,12632.48119,0
kao,Xaasongaxango,Niger-Congo,African-Savannah,1.54620707,8.009192467,0,0.200000003,5,121600,12630.26064,0
nyf,Giryama,Niger-Congo,,1.650475025,10.01646709,0,,,623000,12620.19146,0
teo,Teso,Nilo-Saharan,S-Africa,1.689263463,10.25478363,0,0.600000024,10,1849000,12617.21677,0
nyo,Nyoro,Niger-Congo,S-Africa,1.642150402,10.88176727,0,1,3,667000,12586.90506,0
bre,Breton,Indo-European,Europe,1.651349068,8.823375702,0,0.636363626,11,500000,12504.16169,0
raw,Rawang,Sino-Tibetan,Southeast-Asia,,,,0.125,12,62100,12463.00797,1
ctg,Chittagonian,Indo-European,,,,,0.75,1,13000000,12432.48729,1
gmm,Gbaya-Mbodomo,Niger-Congo,,,,0,0.600000024,5,20000,12416.1898,0
akb,Batak Angkola,Austronesian,,1.509118915,8.122282982,0,,,750000,12406.80736,0
ava,Avar,North-Caucasian,Greater-Mesopotamia,1.68226552,11.09218788,,0.857142866,7,788000,12296.88591,1
nut,Nung,Tai-Kadai,Southeast-Asia,,,0,0.025,10,856000,12264.60002,0
ekg,Ekari,Trans-New-Guinea,Interior-New-Guinea,,,0,0.71320349,11,100000,12236.46089,0
spp,Supyire Senoufo,Niger-Congo,African-Savannah,1.486861229,8.124066353,0,0.421245426,26,350000,12209.95901,0
ses,Koyraboro Senni Songhay,Nilo-Saharan,African-Savannah,,,0,0.204166666,22,100000,12204.61296,0
bia,Badimaya,Australian,S-Australia,,,0,0.666666687,3,20,12152.25096,0
yaq,Yaqui,Uto-Aztecan,Mesoamerica,1.426780224,9.295190811,0,0.578662992,26,14620,11998.08284,0
cbu,Candoshi-Shapra,Language-isolate,Andean,1.460830092,10.91650009,0,0.666666687,3,3000,11959.52243,0
kha,Khasi,Austro-Asiatic,Indic,,,,0.202435061,22,865000,11929.03774,1
rim,Nyaturu,Niger-Congo,S-Africa,1.712110043,10.31477642,0,1,2,595000,11911.14656,0
gbd,Karadjeri,Australian,N-Australia,,,0,0.75,4,12,11798.70635,0
ijc,Izon,Niger-Congo,African-Savannah,,,0,0.810606062,11,1000000,11670.78632,0
jra,Jarai,Austronesian,,1.449717999,7.851459026,0,,,338200,11631.36914,0
mav,Sateré-Mawé,Tupian,,1.400908589,8.566901207,0,,,7130,11629.24926,0
sro,Campidanese Sardinian,Indo-European,,,,0,0.666666687,6,345000,11613.45752,0
fij,Fijian,Austronesian,Oceania,1.402365088,7.409202576,0.485429525,0.279190481,25,333440,11608.71367,0
qul,North Bolivian Quechua,Quechuan,,1.415910482,11.24293518,,,,116000,11566.09617,1
heb,Hebrew,Afro-Asiatic,Greater-Mesopotamia,1.995408177,11.06376457,,0.529144645,27,4850000,11533.54207,1
qvs,San Martín Quechua,Quechuan,,1.232834697,10.4282608,0,,,15000,11478.54917,0
ahk,Akha,Sino-Tibetan,Southeast-Asia,1.128141522,8.425121307,,0.166666672,6,563960,11410.64945,1
arw,Arawak,Maipurean,NE-South-America,,,0,0.621212125,11,2450,11392.49829,0
mzh,Wichí Lhamtés Güisnay,Matacoan,,1.430445194,8.604345322,0,0.446428567,25,15000,11392.03843,0
bla,Blackfoot,Algic,Basin-and-Plains,,,0,0.909090936,11,4600,11357.57021,0
amc,Amahuaca,Panoan,NE-South-America,,,0,0.625,8,330,11312.27001,0
kfq,Korku,Austro-Asiatic,Indic,,,0,0.642857134,7,478000,11234.50825,0
tcc,Datooga,Nilo-Saharan,S-Africa,1.46010375,10.02259541,0,,,87800,11189.77583,0
hub,Huambisa,Jivaroan,Andean,1.517040014,10.78814316,0,,,9330,11149.60217,0
wti,Berta,Nilo-Saharan,Greater-Abyssinia,,,0.009033671,1,7,147000,11124.99569,0
kcv,Kete,Niger-Congo,S-Africa,,,0,0.5,2,8400,11050.29941,0
kgq,Kamoro,Trans-New-Guinea,S-New-Guinea,,,0,1,5,8000,11038.64551,0
kny,Kanyok,Niger-Congo,S-Africa,,,0,1,1,200000,10901.15467,0
aoz,Uab Meto,Austronesian,Oceania,1.469204545,8.245329857,0,,,586000,10893.83887,0
nam,Nangikurrunggurr,Australian,N-Australia,,,0,0.899999976,3.5,220,10857.40558,0
qwh,Huaylas Ancash Quechua,Quechuan,,1.569639087,11.25824547,0,,,336000,10837.7859,0
jya,Jiarong,Sino-Tibetan,Southeast-Asia,,,0,1,4.5,83000,10774.3525,0
pbc,Patamona,Cariban,,1.393618107,8.676094055,0,,,4700,10727.53091,0
cui,Cuiba,Guajiboan,NE-South-America,1.201420784,9.205320358,0,1,2,2830,10694.44452,0
pbb,Páez,Paezan,NE-South-America,1.522227287,10.62566853,0,0.795454562,11,77400,10662.5389,0
yal,Yalunka,Niger-Congo,African-Savannah,1.438881516,7.854898453,0,,,104500,10619.78848,0
qvn,North Junín Quechua,Quechuan,,1.51206708,11.21472454,0,1,1,60000,10618.90637,0
dyu,Jula,Niger-Congo,African-Savannah,1.521292329,7.876924515,0.82316196,,,1179000,10519.95169,1
scl,Shina,Indo-European,Indic,,,0,0.571428597,7,321000,10478.81806,0
cbr,Cashibo-Cacataibo,Panoan,Andean,1.306706667,9.131490707,0,0.625,8,5000,10478.46304,0
bqc,Boko,Niger-Congo,African-Savannah,1.952583551,9.427539825,0,,,110000,10343.88336,0
bol,Bole,Afro-Asiatic,African-Savannah,,,0,1,1,100000,10316.82879,0
ady,Adyghe,North-Caucasian,Greater-Mesopotamia,,11.95824814,,0.90476191,2,475300,10284.60435,1
nnb,Nande,Niger-Congo,S-Africa,1.534005642,10.56642151,0,1,2,903000,10230.06635,0
cub,Cubeo,Tucanoan,NE-South-America,1.349584818,9.790916443,,0.809523821,7,6800,10224.6771,1
luo,Luo,Nilo-Saharan,S-Africa,1.806895494,9.987151146,0,0.583333313,12,4410000,10150.09344,0
kpm,Koho,Austro-Asiatic,Southeast-Asia,,,0,0.5,2,129000,10133.90857,0
irk,Iraqw,Afro-Asiatic,S-Africa,1.683120251,9.778248787,0,0.499166667,20,462000,10129.8897,0
gym,Ngäbere,Chibchan,Mesoamerica,1.262131572,8.570569038,0,0.635416687,8,133090,10117.81544,0
urb,Urubú-Kaapor,Tupian,NE-South-America,,7.302125931,0,0.420614034,19,800,10087.96576,0
bmb,Bembe,Niger-Congo,,1.538498402,9.233809471,0,,,252000,10079.99161,0
lob,Lobi,Niger-Congo,African-Savannah,1.78213501,9.036053658,0,0.5,1,442000,10049.57045,0
djm,Jamsay Dogon,Niger-Congo,African-Savannah,,,0,0.555555582,9,130000,9921.163253,0
qup,Southern Pastaza Quechua,Quechuan,,1.278602719,10.48822117,0,,,1550,9897.674975,0
gup,Gunwinggu,Australian,N-Australia,,,0,0.594444454,12,1410,9854.617979,0
dyi,Djimini Senoufo,Niger-Congo,African-Savannah,1.376767039,7.698854446,0,,,95500,9798.417366,0
hch,Huichol,Uto-Aztecan,Mesoamerica,1.48217392,10.97152138,0,1,8,20000,9781.284024,0
bwi,Baniwa,Maipurean,NE-South-America,,,0,0,1,6070,9693.936495,0
kxu,Kui,Dravidian,Indic,,,0,0.416666657,6,765000,9642.628289,0
msm,Agusan Manobo,Austronesian,,1.395754933,7.93662262,0,,,60000,9512.800163,0
xon,Konkomba,Niger-Congo,African-Savannah,1.420572996,7.72098732,0,,,550100,9443.411113,0
waq,Wageman,Australian,N-Australia,,,0,0.75,4,10,9392.660504,0
dav,Taita,Niger-Congo,S-Africa,,,0,0.5,2,312000,9325.350908,0
ayc,Southern Aymara,Aymaran,,,,0,0.672902465,21,219000,9294.266465,0
mym,Me'en,Nilo-Saharan,Greater-Abyssinia,,,0.040050857,0.875,8,80000,9196.881011,0
mdi,Mamvu,Nilo-Saharan,S-Africa,,,0,0.800000012,5,60000,9077.096719,0
cro,Crow,Siouan-Catawban,Basin-and-Plains,,,0,0.75,4,4280,9024.704193,0
kig,Kimaama,Trans-New-Guinea,S-New-Guinea,,,0,0.107142858,7,3000,9016.844858,0
inh,Ingush,North-Caucasian,Greater-Mesopotamia,,,0,0.656385303,22,413000,9001.460752,0
cuk,San Blas Kuna,Chibchan,,1.513822198,10.77902603,0,,,57100,8969.600428,0
mcn,Masana,Afro-Asiatic,African-Savannah,1.637548685,8.907813072,0,0.400000006,5,233000,8911.892545,0
log,Logo,Nilo-Saharan,S-Africa,,,0,0.375,4,210000,8897.102821,0
mrt,Marghi Central,Afro-Asiatic,African-Savannah,,,0,0.553571403,14,158000,8890.997537,0
auc,Waorani,Language-isolate,NE-South-America,1.316502929,9.318964005,0,0.809523821,7,1650,8872.151547,0
quw,Tena Lowland Quichua,Quechuan,,1.452301741,10.45864582,0,,,20000,8831.124077,0
jig,Djingili,Australian,N-Australia,,,0,0.809523821,7,10,8803.237479,0
hoc,Ho,Austro-Asiatic,Indic,,,0,0.800000012,5,1500000,8774.764168,0
ngu,Guerrero Nahuatl,Uto-Aztecan,,1.324660659,,0,,,150000,8755.552786,0
gwi,Gwich'in,Eyak-Athabaskan,Alaska-Oregon,1.367491841,9.351938248,0,,,800,8727.678139,0
mzb,Tumzabt,Afro-Asiatic,N-Africa,,,0,1,1,70000,8713.581976,0
mhi,Ma'di,Nilo-Saharan,S-Africa,1.644997001,8.314153671,0,0.25,11,314000,8670.78175,0
pab,Parecís,Maipurean,NE-South-America,1.305166006,9.451971054,0,0,1,1290,8617.286278,0
btx,Batak Karo,Austronesian,Southeast-Asia,1.552117944,8.715682983,0,0.487083346,20,600000,8614.805482,0
bwq,Southern Bobo Madaré,Niger-Congo,,1.481843472,7.489216328,0,,,312000,8571.084698,0
gol,Gola,Niger-Congo,African-Savannah,,,0,1,1,107300,8511.056344,0
